trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
timestamp: 1354636105, sequence: 104048, offset:  484708021
timestamp: 1354636106, sequence: 104049, offset:  484702121
timestamp: 1354636107, sequence: 104050, offset:  484695223
timestamp: 1354636108, sequence: 104051, offset:  484688324
timestamp: 1354636109, sequence: 104052, offset:  484682425
timestamp: 1354636110, sequence: 104053, offset:  484674527
timestamp: 1354636111, sequence: 104054, offset:  484668628
timestamp: 1354636112, sequence: 104055, offset:  484662730
timestamp: 1354636113, sequence: 104056, offset:  484656831
timestamp: 1354636114, sequence: 104057, offset:  484650934
timestamp: 1354636115, sequence: 104058, offset:  484643037
timestamp: 1354636116, sequence: 104059, offset:  484636138
timestamp: 1354636117, sequence: 104060, offset:  484632241
timestamp: 1354636118, sequence: 104061, offset:  484626344
timestamp: 1354636119, sequence: 104062, offset:  484619446
timestamp: 1354636120, sequence: 104063, offset:  484613549
timestamp: 1354636121, sequence: 104064, offset:  484610652
timestamp: 1354636122, sequence: 104065, offset:  484600754
timestamp: 1354636123, sequence: 104066, offset:  484593857
timestamp: 1354636124, sequence: 104067, offset:  484586961
timestamp: 1354636125, sequence: 104068, offset:  484581065
timestamp: 1354636126, sequence: 104069, offset:  484574168
timestamp: 1354636127, sequence: 104070, offset:  484568272
timestamp: 1354636128, sequence: 104071, offset:  484561376
timestamp: 1354636129, sequence: 104072, offset:  484554479
timestamp: 1354636130, sequence: 104073, offset:  484545584
timestamp: 1354636131, sequence: 104074, offset:  484538688
timestamp: 1354636132, sequence: 104075, offset:  484532792
timestamp: 1354636133, sequence: 104076, offset:  484525897
timestamp: 1354636134, sequence: 104077, offset:  484520002
timestamp: 1354636135, sequence: 104078, offset:  484513106
timestamp: 1354636136, sequence: 104079, offset:  484506211
timestamp: 1354636137, sequence: 104080, offset:  484499316
timestamp: 1354636138, sequence: 104081, offset:  484493421
timestamp: 1354636139, sequence: 104082, offset:  484488527
timestamp: 1354636140, sequence: 104083, offset:  484481631
timestamp: 1354636141, sequence: 104084, offset:  484474737
timestamp: 1354636142, sequence: 104085, offset:  484467844
timestamp: 1354636143, sequence: 104086, offset:  484460949
timestamp: 1354636144, sequence: 104087, offset:  484456055
